,North Carolina,FGCU,USC,Providence,Indiana,Chattanooga,Kentucky,Stony Brook,Notre Dame,Michigan,West Virginia,S.F. Austin,Wisconsin,Pittsburgh,Xavier,Weber State,Virginia,Hampton,Texas Tech,Butler,Purdue,Little Rock,Iowa State,Iona,Seton Hall,Gonzaga,Utah,Fresno State,Dayton,Syracuse,Michigan State,Middle Tenn.,CSU Bakersfield,Oklahoma,VCU,Oregon State,Green Bay,Texas A&M,Northern Iowa,Texas,UNC Wilmington,Duke,Yale,Baylor,Cincinnati,Saint Joseph's,Holy Cross,Oregon,UNC Asheville,Villanova,Temple,Iowa,Buffalo,Miami,Wichita State,Arizona,Hawaii,California,S. Dakota St.,Maryland,Connecticut,Colorado,Austin Peay,Kansas
,#98BFE5,#009569,#AE2531,#000000,#3182bd,#EEB311,#003399,#B33A4E,#BAA008,#272341,#FFC600,#393996,#A00000,#003263,#002144,#29086B,#00204E,#0067AC,#C80025,#0D1361,#B89D29,#AD0000,#840A2C,#910126,#0857B1,#2D2161,#CD1041,#00427A,#E70808,#F37321,#1C453A,#0079C2,#005DAB,#BA0034,#7D7D7A,#AE3800,#006F51,#5C0025,#473282,#EE7524,#006561,#004C7D,#004A81,#008649,#FD0026,#C2071B,#29086B,#044520,#156199,#123d7C,#A80532,#FFD700,#0068B4,#003E24,#F8D429,#BB003A,#004231,#003768,#005DAB,#D5002B,#0A1D5A,#D9C994,#8E0B0B,#006AB5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79202,0.0016,0.12779,0.07829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52463,0.06533,0.39912,0.01092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21803,0.08029,0.68904,0.01263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0779,0.06582,0.85493,0.00135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,0.85942,0.09458,0.0448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03622,0.56479,0.06711,0.25518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02666,0.62056,0.02502,0.32776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10254,0.07868,0.00366,0.8215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01336,0.64651,0.07057,0.26956,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01134,0.62902,0.15922,0.20043,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07438,0.42839,0.12293,0.3743,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069,0.072,0.00093,0.865
0,0.541,0.00005,0.02475,0.0395,0.258,0.00219,0.135,0.00208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.03903,0.00766,0.478,0.00062,0.05871,0.01852,0.417,0.00014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.465,0.00013,0.02863,0.01095,0.254,0.00727,0.21764,0.00045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0439,0.01028,0.2408,0.00062,0.02827,0.02258,0.65348,0.00008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00008,0.70002,0.04198,0.01565,0.00281,0.16428,0.01032,0.05252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178,0.27167,0.00157,0.09728,0.03023,0.01081,0.00035,0.586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00157,0.38266,0.01867,0.11921,0.00115,0.34353,0.05615,0.07707,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00309,0.1519,0.00678,0.0966,0.00899,0.03326,0.00011,0.696
0,0.3555,0,0.00673,0.011,0.092,0.00018,0.05307,0.00017,0.00798,0.00118,0.2833,0.00003,0.01534,0.00344,0.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3215,0.00001,0.0066,0.0019,0.120242,0.00111,0.0861,0.00003,0.00814,0.00119,0.07891,0.00003,0.00499,0.00371,0.35331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369,0.01077,0.00301,0.00029,0.06922,0.00205,0.01376,0.00012,0.09094,0.00009,0.03415,0.00532,0.00137,0.00001,0.396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00006,0.18741,0.00159,0.01817,0.00004,0.16394,0.00696,0.01056,0.00046,0.04481,0.00133,0.02223,0.00208,0.00346,0.00001,0.535
0,0.242,0,0.00117,0.0041,0.027,0.00001,0.01095,0.00001,0.00135,0.00015,0.046,0,0.00341,0.00052,0.0388,0,0.22457,0,0.00122,0.00026,0.04096,0.00013,0.02637,0,0.00145,0.00013,0.02553,0,0.00084,0.00058,0.2971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25881,0.0017,0.00035,0.00002,0.0136,0.00025,0.00222,0,0.01334,0,0.00199,0.00062,0.00011,0,0.21077,0,0.02941,0.00018,0.00401,0,0.03344,0.00123,0.00208,0.00003,0.00263,0.00013,0.0021,0.00023,0.00045,0,0.427
0,0.125,0,0.00013,0.00012,0.0096,0,0.00188,0,0.00015,0.00001,0.012,0,0.00051,0.00005,0.01,0,0.20411,0,0.00014,0.00002,0.0177,0.00001,0.0099,0,0.00016,0.00001,0.00548,0,0.00009,0.00006,0.1406,0,0,0.12235,0.00033,0.00005,0,0.00392,0.00004,0.00044,0,0.00365,0,0.00034,0.00009,0.00001,0,0.09414,0,0.00959,0.00002,0.00084,0,0.00718,0.0002,0.00039,0,0.00044,0.00001,0.00034,0.00002,0.00005,0,0.248
